OSEBuildingID,PrimaryPropertyType,PropertyName,Address,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions
200,Other,Verity Credit Union,11027 Meridian N #102,3026049024,5,NORTHWEST,1996,1,3,55442,0,55442,Financial Office,28636,85.59999847,88.90000153,194.1000061,197.6000061,3191228.25,3313397,0,544942.8125,1859345,13318.83008,1331883,83.7
205,K-12 School,Ballard High,1418 N.W. 65th St.,3050700050,6,BALLARD,1999,1,2,242795,0,242795,K-12 School,242795,37.70000076,40,107.3000031,112.3000031,9157150,9708318,0,2303477,7859464,12976.84766,1297685,123.71
209,Self-Storage Facility,Madison Self Storage,1111 E. Madison,3225049002,3,EAST,1910,1,5,84870,0,84870,Self-Storage Facility,85521,16.20000076,18.89999962,28.79999924,31.70000076,1381590.125,1617801.25,0,141452.2031,482635,8989.550781,898955,51.11
211,University,NSCC MAIN CAMPUS,9600 COLLEGE WAY N,3226049021,5,NORTHWEST,1970,11,2,694072,111625,582447,College/University,667335,53.79999924,56.09999847,161.1999969,167,35891484,37410800,0,9803878,33450832,24406.47852,2440648,362.82
212,K-12 School,Aki Kurose Middle,3928 S. Graham St.,3332501090,2,SOUTHEAST,1952,1,2,173185,0,173185,K-12 School,173185,35.40000153,40.59999847,58.90000153,64.90000153,6127771.5,7034167.5,0,527763,1800727,43270.4375,4327044,242.36
214,K-12 School,Boren Building,5950 Delridge Way S.W.,3438501230,1,DELRIDGE,1963,1,1,145341,0,145341,K-12 School,139069,39.5,45.59999847,69.5,77.19999695,5499097,6337972,0,546590.625,1864967,36341.29688,3634130,206.01
215,Warehouse,Rainier Bottling Plant,5628 Airport Way South,3466800065,2,GREATER DUWAMISH,1904,1,4,114297,0,114297,Non-Refrigerated Warehouse,114297,18.39999962,21.10000038,36,39.70000076,2100097.75,2415462.5,0,267431,912475,11876.22949,1187623,69.44
216,K-12 School,Rainier Beach High,8815 Seward Park Ave S.,3524049149,2,SOUTHEAST,1960,1,2,184125,0,184125,K-12 School,184125,47.79999924,54.70000076,84.19999695,92.30000305,8800292,10067991,0,879209.3125,2999862,58004.30078,5800430,328.97
217,K-12 School,Whitman Middle,9201 15th Ave. NW.,3526039131,6,BALLARD,1959,1,1,160270,0,160270,K-12 School,160270,0,0,0,0,0,0,0,0,0,43189.17188,4318917,229.38
220,Warehouse,8109,4786 First Ave S,3573700006,2,GREATER DUWAMISH,1937,1,1,234144,0,234144,Non-Refrigerated Warehouse,234144,28.79999924,33.59999847,42,47.09999847,6744317,7874958.5,0,385937,1316817,54275,5427500,297.43
